X,Y
-100.50024872,36.499866211
-100.000408598,36.499916238
-100.00037844,34.560485913
-99.6964583499999,34.377845897
-99.3614382759999,34.4557259220001
-99.189518216,34.2164958910001
-98.483718027,34.062115895
-98.115117948,34.155165932
-97.966947892,33.881975891
-97.2134877,33.913275927
-97.12788767,33.7172858980001
-96.981217643,33.956365949
-96.347467466,33.686355925
-95.2254271959999,33.9614960330001
-94.386846949,33.5450759870001
-94.043316864,33.551566006
-94.04235677,31.993755698
-93.507806583,31.031355525
-93.740036617,30.539695415
-93.6993865869999,30.059605316
-93.926676629,29.812035257
-93.856516611,29.7213552420001
-93.836646601,29.6878052330001
-93.830436612,29.6516752210001
-94.646526802,29.443825153
-96.9585773319999,27.9596747740001
-97.365357406,27.2026646090001
-97.1453273119999,25.9740843540001
-97.373307369,25.839744319
-99.0852578019999,26.3984244
-99.44675791,27.023654515
-99.512837947,27.568694625
-100.29132816,28.2755247420001
-100.674918285,29.100594888
-101.400918485,29.7704449880001
-102.315788711,29.8799149770001
-102.674328784,29.7444949370001
-102.868128802,29.22314484
-103.283388891,28.976814776
-104.5089592,29.6331748490001
-104.922649336,30.6034050060001
-106.646229793,31.8950651490001
-106.618979798,32.000545163
-103.064648997,32.0004153250001
-103.041759322,36.5003860690001
-100.50024872,36.499866211
